,id,adult,softcore
71,5511,False,False
72,20969,False,False
73,1655912,False,False
74,1657064,False,False
75,720238,False,False
76,1683620,,
77,81,False,False
78,1510333,False,False
79,7219,False,False
80,1649306,False,False
81,1655910,False,False
82,1683621,False,False
83,66436,False,False
84,53980,False,False
85,1683010,False,False
86,59068,False,False
87,1168719,False,False
88,1668179,False,False
89,27066,False,True
90,1250,False,False
91,1456277,False,False
92,832,False,False
93,1622474,False,False
94,1180158,False,False
95,1046203,False,False
96,1683622,,
97,1454699,False,False
98,1665808,False,False
99,403078,False,False
0,1490369,False,False
1,364175,False,False
2,1658124,False,False
3,1497426,True,False
4,447404,False,False
5,610150,False,False
6,1682833,False,False
7,1509632,False,False
8,63100,False,False
9,1683623,,
10,972323,False,False
11,71676,False,False
12,22501,False,False
13,1410139,False,False
14,1314481,False,False
15,1682873,False,False
16,740147,False,False
17,6217,False,False
18,503314,False,False
19,989909,False,False
20,646,False,False
21,1676421,False,False
22,71144,False,False
23,1682968,False,True
24,828613,False,False
25,743858,False,False
26,1043789,False,False
27,1683624,False,False
28,20526,False,False
29,1111759,False,False
30,1659162,False,False
31,669939,False,False
32,992951,False,False
33,838119,False,False
34,27150,False,False
35,531381,False,False
36,1503009,False,False
37,1683625,False,False
38,39434,False,False
39,1682844,False,False
40,1127361,False,False
41,1572070,False,False
42,1683626,,
43,26452,False,False
44,54225,False,False
45,1395589,True,False
46,1515981,False,False
47,678436,False,False
48,1298560,True,False
49,778665,False,False
50,1422099,False,False
51,678434,False,False
52,717196,False,False
53,1585036,False,False
54,1422103,False,False
55,1482985,False,False
56,21183,False,False
57,1475803,False,False
58,1115544,False,False
59,1520506,False,False
60,1386709,False,False
61,1167802,False,False
62,1244638,False,False
63,42716,False,False
64,58926,False,False
65,62436,False,False
